"Alphabet","flex1","flex2","flex3","flex4","flex5","gyrx","gyry","gyrz","accx","accy","accz"
"J","1045"," 688"," 854"," 688"," 1139"," 2.33"," 0.56"," 0.66"," -4.66"," -5.91"," -1.59"
"J","1043"," 688"," 848"," 691"," 1136"," 0.01"," -0.03"," -0.04"," -5.57"," -8.00"," 1.61"
"J","1040"," 688"," 848"," 689"," 1137"," 0.77"," -0.23"," 0.39"," -6.03"," -8.42"," 2.77"
"J","1014"," 683"," 838"," 685"," 1140"," 5.70"," -0.83"," 2.19"," -6.36"," -5.01"," 4.13"
"J","1034"," 681"," 835"," 679"," 1151"," -1.06"," 0.10"," 0.82"," -3.41"," -7.87"," -5.58"
"J","1023"," 669"," 833"," 674"," 1147"," -7.07"," -0.08"," 1.70"," 1.59"," -6.98"," 7.88"
"J","1041"," 679"," 838"," 685"," 1153"," 0.20"," -2.25"," -0.83"," -5.45"," 4.19"," 6.10"
"J","1037"," 681"," 834"," 682"," 1150"," 5.20"," -0.44"," 1.74"," -5.07"," -8.44"," 2.16"
"J","1040"," 679"," 827"," 676"," 1150"," -3.23"," 0.28"," 0.58"," 0.37"," -2.38"," 10.45"
"J","1045"," 686"," 831"," 678"," 1152"," -2.53"," -2.95"," -0.92"," -1.13"," 7.28"," 7.47"
"J","1023"," 665"," 839"," 678"," 1153"," 0.11"," -2.99"," -1.07"," -2.23"," 3.59"," 7.18"
"J","1037"," 681"," 839"," 677"," 1145"," 6.90"," -0.16"," 2.16"," -3.26"," -12.28"," 1.10"
"J","1040"," 685"," 834"," 683"," 1147"," 0.48"," 0.10"," -0.03"," -2.64"," -8.93"," -0.92"
"J","1038"," 685"," 837"," 686"," 1149"," 0.67"," -0.05"," 0.16"," -5.41"," 1.88"," 8.32"
"J","1042"," 689"," 843"," 688"," 1138"," 4.12"," -0.01"," 1.37"," -4.88"," -8.35"," 1.44"
"J","1002"," 659"," 839"," 682"," 1151"," -8.33"," 1.04"," 2.21"," -1.02"," -13.23"," 1.09"
"J","1009"," 677"," 846"," 688"," 1151"," 5.00"," -0.49"," 1.95"," -5.35"," -4.83"," 4.88"
"J","1022"," 683"," 848"," 689"," 1147"," 0.88"," -0.16"," 0.30"," -2.05"," -7.59"," -2.47"
"J","1016"," 671"," 848"," 688"," 1151"," -6.35"," 1.55"," 2.14"," -2.51"," -11.19"," 1.56"
"J","1033"," 673"," 844"," 689"," 1154"," -2.47"," -3.07"," -0.84"," -3.47"," 5.32"," 9.64"
"J","1023"," 672"," 843"," 684"," 1155"," 0.58"," -2.26"," -0.29"," -5.37"," 2.37"," 2.88"
"J","1013"," 666"," 848"," 690"," 1153"," 6.69"," 1.65"," 3.96"," -4.79"," 0.21"," 4.60"
"J","1008"," 672"," 821"," 642"," 1150"," 8.73"," 0.82"," 1.44"," -3.55"," -10.91"," 0.02"
"J","1004"," 661"," 826"," 658"," 1152"," 0.05"," 0.19"," -0.27"," -3.35"," -7.33"," -3.51"
"J","999"," 658"," 848"," 674"," 1161"," -1.20"," 0.11"," 1.67"," -2.65"," -8.79"," -3.28"
"J","982"," 633"," 837"," 663"," 1152"," -8.73"," -2.51"," -1.54"," 0.77"," -12.97"," -2.50"
"J","1008"," 659"," 837"," 678"," 1165"," -7.26"," -4.29"," -1.88"," 1.07"," -9.45"," 2.99"
"J","1007"," 656"," 846"," 685"," 1163"," -1.60"," -2.55"," -2.54"," -3.92"," 0.08"," 6.14"
"J","1015"," 657"," 848"," 688"," 1164"," 2.77"," 0.05"," 0.51"," -4.47"," 3.30"," 4.59"
"J","1023"," 638"," 854"," 693"," 1166"," 1.81"," -0.13"," 0.39"," -4.67"," 3.08"," 6.24"
"J","1008"," 659"," 848"," 678"," 1159"," 7.33"," 4.44"," 2.54"," -1.49"," 2.67"," 8.95"
"J","1012"," 673"," 846"," 667"," 1150"," 6.51"," -0.05"," -0.34"," 1.18"," -14.67"," -1.09"
"J","1033"," 682"," 848"," 683"," 1149"," 4.06"," 0.12"," 0.53"," -3.03"," -9.23"," -6.84"
"J","1019"," 684"," 858"," 690"," 1148"," 0.65"," -0.39"," 1.04"," -1.85"," -5.35"," -5.70"
"J","1035"," 688"," 851"," 688"," 1162"," -2.36"," 1.56"," 2.71"," -3.21"," -11.08"," 9.20"
"J","1043"," 683"," 859"," 689"," 1165"," -2.07"," -2.01"," -2.10"," -2.76"," 2.85"," 7.17"
"J","1057"," 689"," 857"," 701"," 1158"," 8.73"," 0.70"," 3.04"," -2.66"," -0.07"," 1.35"
