"Alphabet","flex1","flex2","flex3","flex4","flex5","gyrx","gyry","gyrz","accx","accy","accz"
"W","959"," 1033"," 1239"," 976"," 603"," -0.10"," 0.33"," -0.14"," -8.29"," -6.28"," -8.87"
"W","930"," 1023"," 1251"," 988"," 589"," -0.41"," -0.05"," 0.21"," -5.26"," -2.76"," -3.51"
"W","903"," 1031"," 1255"," 963"," 592"," -0.11"," 0.40"," -0.37"," -8.70"," -6.23"," -6.68"
"W","925"," 1023"," 1256"," 979"," 618"," -0.08"," -0.31"," 0.01"," -5.74"," -4.61"," -3.48"
"W","905"," 1020"," 1251"," 976"," 624"," 0.08"," 0.31"," -0.42"," -6.49"," -4.25"," -3.80"
"W","909"," 1019"," 1253"," 977"," 625"," -0.43"," -0.11"," 0.28"," -8.33"," -6.83"," -5.82"
"W","911"," 1019"," 1250"," 976"," 624"," 0.16"," 0.22"," -0.17"," -4.84"," -2.72"," -3.35"
"W","905"," 1022"," 1251"," 976"," 624"," -0.22"," -0.17"," 0.07"," -9.07"," -5.70"," -7.56"
"W","904"," 1013"," 1255"," 976"," 613"," 0.29"," -0.07"," 0.39"," -4.08"," -3.52"," -2.75"
"W","899"," 1021"," 1257"," 1009"," 623"," 0.17"," -0.10"," -0.06"," -10.29"," -7.59"," -6.16"
"W","920"," 1022"," 1257"," 1017"," 624"," -0.62"," 0.67"," -0.30"," -4.53"," -3.37"," -3.24"
"W","899"," 1022"," 1258"," 1011"," 623"," -0.10"," -0.80"," 0.61"," -6.89"," -6.41"," -7.11"
"W","897"," 1018"," 1251"," 1015"," 624"," 0.07"," 0.54"," -1.13"," -6.22"," -5.53"," -5.67"
"W","896"," 1010"," 1253"," 987"," 614"," 0.33"," -0.33"," 0.34"," -4.34"," -0.76"," -2.68"
"W","871"," 1008"," 1251"," 980"," 627"," 0.15"," -0.61"," 0.68"," -7.26"," -8.17"," -5.68"
"W","877"," 1009"," 1250"," 983"," 611"," 0.15"," 0.59"," -1.02"," -5.24"," -5.60"," -5.76"
"W","885"," 1009"," 1252"," 981"," 618"," -0.33"," 0.43"," -0.09"," -5.18"," -1.68"," -2.39"
"W","873"," 1014"," 1250"," 1007"," 619"," 0.37"," -0.50"," 0.67"," -7.24"," -6.48"," -5.56"
"W","881"," 1017"," 1253"," 1006"," 619"," -0.14"," 0.60"," -0.33"," -5.65"," -4.16"," -4.00"
"W","884"," 1016"," 1248"," 1003"," 624"," 0.63"," -0.76"," 0.39"," -4.19"," -4.33"," -2.70"
"W","882"," 1018"," 1246"," 996"," 623"," 0.13"," -0.46"," 0.60"," -6.02"," -5.97"," -4.72"
"W","877"," 1015"," 1251"," 1003"," 626"," -0.22"," 0.70"," -0.48"," -7.33"," -7.67"," -3.66"
"W","887"," 1023"," 1247"," 988"," 624"," 0.06"," -0.17"," 0.30"," -5.52"," -3.59"," -3.58"
"W","885"," 1023"," 1249"," 982"," 610"," 0.46"," -0.84"," 0.72"," -6.62"," -8.53"," -5.45"
"W","910"," 1034"," 1251"," 994"," 627"," -0.64"," 0.38"," -0.92"," -5.36"," -5.85"," -3.24"
"W","907"," 1036"," 1258"," 1010"," 644"," -0.10"," -0.53"," 0.40"," -7.82"," -6.29"," -5.45"
"W","878"," 1036"," 1250"," 998"," 627"," -0.47"," 0.77"," -0.71"," -5.83"," -5.92"," -3.75"
"W","905"," 1033"," 1249"," 988"," 630"," 0.05"," -0.63"," 0.80"," -5.43"," -5.92"," -3.70"
"W","885"," 1033"," 1250"," 985"," 630"," -0.66"," 0.86"," -0.51"," -6.57"," -6.42"," -4.10"
"W","898"," 1033"," 1250"," 986"," 634"," 0.09"," -0.61"," 0.77"," -6.25"," -5.57"," -4.18"
"W","898"," 1034"," 1250"," 989"," 629"," -0.20"," 0.30"," -0.16"," -5.88"," -4.29"," -2.70"
"W","1038"," 1023"," 1250"," 986"," 631"," -0.07"," -0.04"," 0.08"," -7.03"," -5.16"," -3.68"
"W","1043"," 1023"," 1252"," 989"," 635"," 0.02"," -0.00"," 0.00"," -6.61"," -5.31"," -4.16"
"W","1046"," 1023"," 1250"," 989"," 638"," 0.03"," -0.04"," 0.01"," -6.62"," -5.30"," -3.89"
"W","1046"," 1023"," 1254"," 989"," 640"," -0.02"," -0.00"," 0.02"," -6.65"," -5.45"," -3.94"
"W","1047"," 1022"," 1251"," 988"," 637"," -0.01"," -0.01"," -0.01"," -6.56"," -5.60"," -4.08"
"W","1047"," 1034"," 1254"," 987"," 635"," -0.02"," -0.03"," 0.01"," -6.44"," -5.52"," -4.06"
"W","1042"," 1023"," 1254"," 989"," 626"," -0.02"," -0.03"," 0.01"," -6.62"," -5.61"," -4.14"
"W","1041"," 1023"," 1254"," 993"," 614"," -0.01"," -0.04"," -0.00"," -6.54"," -5.53"," -4.03"
"W","1044"," 1031"," 1257"," 1008"," 599"," 2.47"," -1.49"," -0.27"," -6.40"," -5.30"," -1.01"
"W","1039"," 1033"," 1250"," 1036"," 613"," -1.39"," 0.17"," 0.03"," -6.59"," -6.24"," -5.89"
"W","1017"," 1019"," 1232"," 976"," 598"," 0.07"," 0.03"," 0.00"," -7.18"," -3.72"," -4.65"
"W","1065"," 976"," 1223"," 1017"," 592"," 0.07"," 0.08"," -0.11"," -7.44"," -3.66"," -3.36"
"W","1072"," 1034"," 1229"," 1003"," 601"," -0.14"," 0.06"," 0.03"," -7.13"," -4.43"," -4.25"
"W","1068"," 995"," 1218"," 1047"," 625"," -0.34"," 0.02"," -0.01"," -6.78"," -4.61"," -4.73"
"W","1043"," 1008"," 1238"," 1031"," 611"," 0.22"," 0.29"," 0.06"," -7.62"," -4.53"," -2.80"
"W","1052"," 1007"," 1232"," 929"," 582"," -0.16"," -0.05"," 0.02"," -7.06"," -4.27"," -4.06"
"W","1060"," 1001"," 1232"," 923"," 511"," 0.01"," -0.27"," -0.00"," -7.50"," -3.70"," -5.46"
"W","1062"," 991"," 1218"," 891"," 506"," -0.00"," -0.01"," -0.02"," -7.89"," -3.77"," -3.66"
"W","1058"," 990"," 1200"," 866"," 511"," -0.20"," -0.39"," 0.13"," -7.54"," -2.69"," -4.40"
"W","1065"," 989"," 1193"," 880"," 499"," 0.54"," -0.25"," -0.16"," -8.24"," -2.53"," -3.85"
"W","1071"," 1006"," 1211"," 893"," 477"," 0.00"," 0.10"," 0.02"," -8.83"," -2.45"," -2.90"
"W","1072"," 1003"," 1210"," 887"," 478"," -0.20"," 0.12"," -0.06"," -9.02"," -2.92"," -3.25"
"W","1068"," 999"," 1200"," 883"," 510"," -0.48"," 0.09"," 0.01"," -8.67"," -2.08"," -3.48"
"W","1049"," 1001"," 1196"," 880"," 529"," 0.12"," -0.01"," 0.03"," -8.70"," -2.01"," -3.34"
"W","1042"," 1011"," 1245"," 989"," 487"," -0.02"," 0.10"," 0.01"," -8.38"," -1.39"," -2.61"
"W","1035"," 1005"," 1211"," 943"," 493"," -0.04"," -0.42"," 0.26"," -8.07"," -3.46"," -5.48"
"W","1043"," 998"," 1209"," 912"," 496"," 0.03"," -0.03"," 0.02"," -8.62"," -1.94"," -3.75"
"W","1078"," 999"," 1209"," 893"," 491"," -0.00"," -0.06"," 0.03"," -8.53"," -2.29"," -3.90"
"W","926"," 1003"," 1213"," 915"," 574"," 0.02"," 0.00"," 0.07"," -8.67"," -2.28"," -3.12"
"W","935"," 1006"," 1214"," 912"," 592"," -0.06"," -0.04"," 0.03"," -8.67"," -2.24"," -3.31"
"W","880"," 1003"," 1225"," 960"," 583"," -0.14"," -0.02"," 0.05"," -8.77"," -2.28"," -3.17"
"W","898"," 999"," 1218"," 929"," 604"," -0.06"," -0.67"," -0.04"," -8.17"," -2.71"," -2.92"
"W","892"," 998"," 1205"," 887"," 601"," 0.14"," -0.03"," -0.00"," -7.81"," -3.77"," -2.78"
"W","883"," 1002"," 1213"," 889"," 619"," -0.03"," 0.44"," 0.31"," -8.42"," -3.44"," -3.12"
"W","905"," 999"," 1213"," 891"," 624"," -0.29"," 0.58"," 0.12"," -8.11"," -1.82"," -4.26"
"W","912"," 999"," 1214"," 881"," 624"," 0.01"," -0.13"," -0.21"," -8.23"," -2.75"," -5.83"
