"Alphabet","flex1","flex2","flex3","flex4","flex5","gyrx","gyry","gyrz","accx","accy","accz"
"Y","1231"," 563"," 762"," 615"," 1100"," 0.02"," -0.01"," 0.00"," -7.24"," -2.12"," -5.76"
"Y","1233"," 563"," 759"," 618"," 1099"," -0.20"," 0.06"," 0.00"," -7.30"," -2.77"," -6.31"
"Y","1226"," 563"," 764"," 622"," 1113"," 0.17"," -0.63"," -0.26"," -7.41"," 0.12"," -4.69"
"Y","1227"," 563"," 764"," 624"," 1104"," -0.03"," -0.02"," 0.01"," -7.74"," -0.70"," -5.25"
"Y","1227"," 563"," 763"," 618"," 1100"," 0.01"," -0.01"," 0.00"," -7.62"," -0.63"," -5.30"
"Y","1230"," 563"," 761"," 624"," 1104"," -0.06"," -0.15"," -0.13"," -7.79"," 0.76"," -5.80"
"Y","1232"," 563"," 763"," 621"," 1089"," 0.27"," -0.28"," 0.03"," -7.60"," -0.02"," -3.02"
"Y","1232"," 563"," 759"," 619"," 1057"," 0.01"," -0.02"," 0.00"," -7.76"," -0.10"," -5.12"
"Y","1232"," 563"," 757"," 618"," 1060"," -0.03"," -0.01"," 0.02"," -7.79"," -0.07"," -5.19"
"Y","1219"," 562"," 752"," 603"," 1106"," 0.04"," -0.34"," 0.09"," -6.75"," -3.52"," -6.42"
"Y","1221"," 562"," 752"," 603"," 1093"," -0.18"," 0.19"," -0.00"," -6.73"," -2.43"," -5.46"
"Y","1221"," 562"," 752"," 599"," 1092"," -0.06"," -0.05"," -0.00"," -3.84"," -2.62"," -5.21"
"Y","1233"," 562"," 759"," 611"," 1066"," 0.01"," -0.80"," 0.05"," -6.25"," -2.15"," -8.47"
"Y","1232"," 562"," 756"," 615"," 1099"," -0.03"," -0.03"," 0.02"," -7.15"," -2.12"," -5.63"
"Y","1232"," 562"," 754"," 615"," 1102"," -0.05"," -0.13"," -0.10"," -8.94"," -0.46"," -3.48"
"Y","1228"," 562"," 761"," 623"," 1101"," -0.04"," -0.02"," 0.01"," -7.65"," -0.71"," -5.43"
"Y","1227"," 562"," 761"," 620"," 1097"," -0.04"," -0.02"," 0.01"," -7.66"," -0.80"," -5.45"
"Y","1230"," 562"," 759"," 623"," 1104"," -0.04"," -0.27"," -0.40"," -7.69"," 0.21"," -4.62"
"Y","1231"," 562"," 765"," 620"," 1072"," -0.05"," 0.13"," -0.02"," -6.82"," -1.60"," -6.70"
"Y","1229"," 562"," 762"," 619"," 1062"," -0.02"," -0.00"," 0.07"," -7.85"," 0.29"," -4.70"
"Y","1231"," 562"," 763"," 619"," 1059"," -0.02"," -0.01"," 0.04"," -7.98"," -0.16"," -5.10"
"Y","1230"," 562"," 758"," 619"," 1058"," -0.03"," -0.01"," 0.01"," -7.82"," -0.17"," -5.17"
"Y","1232"," 561"," 758"," 612"," 1100"," -0.02"," -0.05"," 0.01"," -7.06"," -2.24"," -5.73"
"Y","1228"," 561"," 766"," 623"," 1117"," 0.12"," -0.55"," -0.36"," -7.78"," 0.66"," -6.46"
"Y","1227"," 561"," 758"," 622"," 1098"," -0.01"," -0.02"," 0.05"," -7.73"," -0.55"," -5.32"
"Y","1231"," 561"," 762"," 619"," 1075"," -0.23"," 0.07"," 0.04"," -7.89"," -0.82"," -5.10"
"Y","1230"," 561"," 763"," 620"," 1069"," -0.02"," 0.06"," -0.04"," -7.42"," -0.27"," -5.76"
"Y","1221"," 560"," 752"," 592"," 1102"," 0.19"," -0.24"," 0.11"," -6.14"," -1.91"," -4.03"
"Y","1218"," 560"," 752"," 595"," 1104"," 0.12"," 0.52"," -0.22"," -6.82"," -2.47"," -6.49"
"Y","1219"," 560"," 752"," 602"," 1108"," -0.02"," 0.34"," -0.10"," -6.71"," -2.05"," -4.94"
"Y","1221"," 560"," 752"," 602"," 1103"," 0.01"," -0.06"," 0.02"," -6.41"," -2.78"," -6.12"
"Y","1231"," 560"," 761"," 611"," 1082"," -0.02"," -0.11"," 0.14"," -5.71"," -2.48"," -5.45"
"Y","1232"," 560"," 757"," 612"," 1058"," -0.05"," 0.58"," -0.05"," -6.58"," -2.78"," -7.20"
"Y","1232"," 560"," 755"," 612"," 1079"," 0.06"," 0.46"," -0.04"," -5.77"," -2.37"," -5.75"
"Y","1232"," 560"," 758"," 615"," 1099"," -0.04"," -0.02"," 0.02"," -7.24"," -2.35"," -5.55"
"Y","1231"," 560"," 755"," 614"," 1099"," -0.04"," 0.01"," 0.01"," -7.14"," -2.36"," -5.44"
"Y","1232"," 560"," 764"," 615"," 1099"," -0.03"," -0.02"," 0.02"," -7.18"," -2.30"," -5.71"
"Y","1232"," 560"," 758"," 618"," 1099"," -0.01"," -0.01"," 0.03"," -7.05"," -2.12"," -5.78"
"Y","1232"," 560"," 757"," 615"," 1099"," -0.01"," -0.01"," 0.01"," -7.06"," -2.19"," -5.89"
"Y","1232"," 560"," 758"," 614"," 1093"," -0.05"," -0.01"," -0.01"," -6.71"," -1.62"," -6.63"
"Y","1232"," 560"," 759"," 614"," 1094"," -0.06"," 0.06"," -0.11"," -6.02"," -1.69"," -6.85"
"Y","1232"," 560"," 751"," 617"," 1117"," -0.03"," -0.08"," -0.01"," -8.67"," -0.69"," -3.71"
"Y","1229"," 560"," 763"," 621"," 1102"," 0.02"," 0.17"," 0.40"," -7.47"," 0.11"," -5.06"
"Y","1230"," 560"," 763"," 624"," 1104"," -0.24"," 0.18"," 0.19"," -7.39"," 1.19"," -5.92"
"Y","1229"," 560"," 765"," 623"," 1106"," -0.00"," -0.09"," -0.02"," -7.42"," 1.41"," -5.94"
"Y","1227"," 560"," 764"," 620"," 1089"," 0.73"," 0.68"," -0.30"," -6.99"," -0.66"," -5.27"
"Y","1230"," 560"," 761"," 619"," 1088"," 0.03"," 0.18"," -0.06"," -6.78"," -1.41"," -7.87"
"Y","1231"," 560"," 761"," 620"," 1088"," -0.38"," -0.45"," 0.30"," -7.76"," -2.15"," -7.10"
"Y","1232"," 560"," 764"," 619"," 1081"," 0.07"," -0.49"," 0.15"," -7.19"," -0.20"," -3.37"
"Y","1230"," 560"," 757"," 618"," 1067"," -0.04"," -0.02"," 0.02"," -7.37"," -0.53"," -5.94"
"Y","1230"," 560"," 763"," 619"," 1059"," -0.01"," -0.02"," 0.02"," -7.28"," -0.48"," -5.88"
"Y","1230"," 560"," 756"," 616"," 1058"," -0.02"," -0.03"," 0.01"," -7.27"," -0.41"," -5.88"
"Y","1231"," 560"," 757"," 618"," 1058"," -0.02"," -0.02"," 0.02"," -7.25"," -0.44"," -5.85"
"Y","1232"," 560"," 758"," 617"," 1058"," -0.04"," -0.02"," 0.01"," -7.22"," -0.41"," -5.86"
"Y","1229"," 560"," 758"," 619"," 1060"," -0.12"," -0.05"," 0.05"," -7.46"," -0.47"," -5.79"
"Y","1230"," 560"," 761"," 618"," 1067"," -0.29"," -0.65"," 0.13"," -7.17"," 0.40"," -6.96"
"Y","1232"," 560"," 762"," 620"," 1063"," -0.08"," -0.38"," 0.03"," -7.77"," -0.36"," -5.66"
"Y","1230"," 560"," 759"," 619"," 1056"," -0.01"," -0.03"," 0.01"," -7.74"," -0.10"," -5.22"
"Y","1227"," 560"," 755"," 621"," 1055"," -0.02"," -0.01"," 0.01"," -7.79"," -0.08"," -5.25"
"Y","1231"," 560"," 755"," 620"," 1053"," -0.03"," -0.02"," 0.01"," -7.75"," -0.11"," -5.27"
"Y","1231"," 560"," 755"," 618"," 1054"," -0.01"," -0.03"," 0.03"," -7.79"," -0.14"," -5.38"
"Y","1232"," 560"," 753"," 621"," 1051"," -0.02"," -0.03"," 0.01"," -7.75"," -0.00"," -5.26"
"Y","1229"," 560"," 752"," 619"," 1051"," -0.02"," -0.02"," 0.01"," -7.71"," -0.07"," -5.37"
"Y","1232"," 560"," 753"," 621"," 1050"," 0.00"," -0.01"," 0.05"," -7.77"," 0.09"," -5.34"
"Y","1232"," 560"," 754"," 619"," 1072"," 0.14"," 0.55"," 0.01"," -7.86"," -0.13"," -5.06"
"Y","1229"," 560"," 753"," 619"," 1072"," -0.34"," 0.76"," -0.13"," -7.67"," -0.33"," -4.71"
"Y","1229"," 560"," 752"," 619"," 1064"," 0.00"," 0.07"," 0.06"," -7.65"," -0.25"," -4.00"
"Y","1222"," 559"," 745"," 603"," 1112"," -0.01"," 0.02"," -0.03"," -7.93"," -2.24"," -7.20"
"Y","1223"," 559"," 750"," 590"," 1104"," -0.06"," -0.43"," 0.09"," -6.89"," -2.12"," -5.01"
"Y","1221"," 559"," 755"," 603"," 1104"," -0.12"," 0.30"," -0.06"," -6.59"," -2.99"," -6.43"
"Y","1231"," 559"," 762"," 618"," 1099"," 0.12"," -0.27"," 0.26"," -10.02"," -1.24"," -4.92"
"Y","1231"," 559"," 752"," 619"," 1120"," -0.06"," -0.01"," -0.02"," -8.66"," -0.61"," -3.80"
"Y","1228"," 559"," 758"," 615"," 1060"," -0.03"," -0.03"," 0.01"," -7.25"," -0.46"," -5.83"
"Y","1230"," 559"," 759"," 619"," 1059"," -0.01"," -0.01"," -0.01"," -7.26"," -0.43"," -5.82"
"Y","1231"," 559"," 757"," 619"," 1056"," -0.04"," 0.01"," 0.02"," -7.82"," -0.15"," -5.28"
"Y","1229"," 559"," 755"," 618"," 1057"," -0.04"," -0.02"," 0.02"," -7.76"," -0.06"," -5.32"
"Y","1220"," 558"," 752"," 574"," 1101"," 0.08"," -0.46"," 0.02"," -7.41"," -2.16"," -6.06"
"Y","1232"," 558"," 762"," 614"," 1072"," -0.07"," 0.10"," 0.08"," -5.27"," -2.50"," -4.87"
"Y","1230"," 558"," 761"," 620"," 1114"," 0.32"," -0.10"," -0.03"," -7.92"," 0.77"," -3.48"
