"Alphabet","flex1","flex2","flex3","flex4","flex5","gyrx","gyry","gyrz","accx","accy","accz"
"A","1170"," 526"," 740"," 560"," 562"," -0.03"," -0.00"," 0.01"," -5.16"," -1.96"," -7.56"
"A","1243"," 525"," 752"," 570"," 473"," -0.23"," -0.58"," 0.01"," -4.72"," -0.73"," -7.93"
"A","1223"," 511"," 714"," 557"," 450"," -0.26"," 0.74"," -0.04"," -4.22"," -0.42"," -7.48"
"A","1065"," 511"," 749"," 592"," 465"," 0.26"," 1.82"," 0.92"," 0.05"," -1.94"," 10.98"
"A","1110"," 511"," 742"," 557"," 559"," -0.10"," -0.01"," -0.02"," -5.84"," -2.32"," -6.77"
"A","1104"," 511"," 738"," 554"," 560"," -0.05"," 0.03"," 0.00"," -5.27"," -1.50"," -7.52"
"A","1229"," 510"," 751"," 560"," 470"," -0.28"," -0.03"," 0.28"," -4.70"," -3.87"," -7.03"
"A","1229"," 507"," 742"," 587"," 475"," -5.13"," 0.15"," -1.54"," -3.24"," -3.40"," 1.03"
"A","1239"," 503"," 749"," 566"," 448"," 0.04"," -0.57"," -0.40"," -5.69"," -3.42"," -7.02"
"A","1230"," 503"," 739"," 587"," 466"," 2.06"," -0.12"," 1.06"," -0.81"," -7.49"," -2.72"
"A","1201"," 502"," 770"," 572"," 426"," 0.17"," 0.06"," 0.04"," -7.04"," -1.18"," -6.17"
"A","1218"," 499"," 761"," 589"," 485"," -0.41"," 0.03"," -0.12"," -1.24"," -2.26"," -8.80"
"A","1229"," 498"," 751"," 567"," 461"," -0.43"," -0.50"," 0.29"," -0.16"," -5.83"," -7.80"
"A","1229"," 497"," 731"," 551"," 449"," 1.14"," 2.08"," -1.36"," 1.43"," -5.52"," -6.87"
"A","1218"," 496"," 749"," 554"," 450"," -0.06"," -0.06"," -0.02"," -1.42"," -2.01"," -8.86"
"A","1210"," 496"," 747"," 555"," 498"," -0.25"," -0.03"," 0.06"," -1.69"," -2.48"," -8.61"
"A","1212"," 496"," 720"," 550"," 422"," 0.49"," -0.19"," 0.18"," -1.45"," -6.83"," -5.20"
"A","1228"," 491"," 723"," 576"," 471"," 3.35"," 0.23"," 1.62"," -3.40"," -8.94"," 1.99"
"A","1217"," 480"," 702"," 559"," 458"," 1.24"," -1.37"," 1.24"," 4.93"," -8.84"," -11.84"
